"","Name","p","t","ValueAtRandomPoints"
"300","pine",1172.0648599291,11.4531184371542,1.36460453660799e-08
"301","pine",727.880137477405,17.8082706780132,2.50564031323769e-08
"302","pine",841.175017858928,11.719478209786,3.46564346566676e-08
"303","pine",824.518543499984,12.8669573887582,3.64259247026086e-08
"304","pine",1063.96463193625,9.22814077074944,1.45702999763126e-08
"305","pine",792.741417715379,18.6112199297554,1.00323444024995e-08
"306","pine",977.914944772686,14.6400428423472,3.01056736342415e-08
"307","pine",1200.79796737237,14.0468792142237,1.66629925630621e-08
"308","pine",641.086514473494,17.7329525349427,3.38362701120687e-08
"309","pine",1242.39626340556,15.1407283419389,9.98621809961787e-09
"310","pine",506.88672458002,14.3404449598808,3.81672426160582e-08
"311","pine",805.968828510433,16.0633768326077,3.14695200312048e-08
"312","pine",730.679496503591,17.7077615861576,2.54195033785879e-08
"313","pine",1056.22002599398,13.5756897029187,2.25032640836606e-08
"314","pine",639.487819773722,16.0418715779466,4.57602500648885e-08
"315","pine",740.702923768749,14.5587005972549,4.30928524030715e-08
"316","pine",1177.86072945626,16.2751507374303,5.73406612704134e-09
"317","pine",864.36130651413,15.9533657892365,3.42867821101513e-08
"318","pine",383.337676910284,17.3801032891349,6.3045614617141e-09
"319","pine",1001.63040149725,15.8148641757975,2.72895117522434e-08
"320","pine",392.667751389135,15.2204462965843,1.1032933214275e-08
"321","pine",1201.10760114216,10.4216220800082,5.61003357800074e-09
"322","pine",532.992166454168,12.1339442890361,1.53124475110137e-08
"323","pine",1278.0648283461,15.0254245307109,9.19710166489586e-09
"324","pine",1098.43215904622,15.9536357950125,1.28746244032582e-08
"325","pine",1209.51270746194,12.9679537891782,1.59710611027735e-08
"326","pine",937.182486457481,12.2039701666032,4.2299343863748e-08
"327","pine",1042.67557101688,14.4882895376232,2.14261106839839e-08
"328","pine",1227.89756964071,12.4073130260734,1.5980799615793e-08
"329","pine",721.420177851334,9.93522343960964,9.18562540526285e-09
"330","pine",772.355796449125,19.0793679893157,6.76189903042021e-09
"331","pine",462.148675195486,19.2490656958025,8.49169104901831e-09
"332","pine",771.178900029744,18.601466024202,1.17643910268337e-08
"333","pine",1066.62479061495,8.80091320197028,1.04392659314085e-08
"334","pine",1128.63149366436,8.4738914919416,5.87826881808419e-09
"335","pine",1037.24591217423,9.97727260940145,2.0523213601879e-08
"336","pine",666.974391738177,16.3965945389382,3.95873916510791e-08
"337","pine",452.052889620902,12.6587841042572,5.46340000235336e-09
"338","pine",1108.64660864936,9.0473150344866,1.11035174339804e-08
"339","pine",572.371258163585,16.6572137092648,4.42930036910929e-08
"340","pine",917.286485997435,16.2686711476676,3.37335912019561e-08
"341","pine",1288.77273077934,13.6022456250951,1.27484825963721e-08
"342","pine",1115.1589787177,9.76816170995667,1.16524516961486e-08
"343","pine",883.328762155956,16.0233630282036,3.48611373551795e-08
"344","pine",1010.9808015964,13.624679864299,3.04862646352826e-08
"345","pine",778.515635693925,11.3631042736238,2.84667687626143e-08
"346","pine",612.26113385791,15.9334779207724,4.9542616321249e-08
"347","pine",550.725455375247,14.13867128896,4.54642988308877e-08
"348","pine",1119.84861543201,11.7762650700942,1.40129607726218e-08
"349","pine",1292.97004442942,14.8130990173794,9.39493848622632e-09
"350","pine",614.797301787566,14.5169969543519,5.21334095914094e-08
"351","pine",1176.11800126814,10.1607699111652,6.49337573913601e-09
"352","pine",772.535489626806,18.6834949685893,1.07331223533737e-08
"353","pine",548.788014585926,15.4555845684303,5.01505072878842e-08
"354","pine",483.693592926337,15.2037070916982,3.45389510057152e-08
"355","pine",1176.83926514317,14.7117689099077,1.64632856554184e-08
"356","pine",894.136440273171,9.56708938901792,8.40180549578741e-09
"357","pine",932.087892903934,9.17456918068618,6.64900556419361e-09
"358","pine",1310.0960668553,14.3418368087415,9.68282515168614e-09
"359","pine",699.590835367889,13.8540726381925,4.59708710713789e-08
"360","pine",1168.76694858894,10.9961691727828,1.12823395099132e-08
"361","pine",1118.90064284468,8.469767745506,6.17658532172735e-09
"362","pine",716.515889902671,11.8063320487439,2.8085930207821e-08
"363","pine",389.052546204511,18.7288400897973,5.20926642860298e-09
"364","pine",1194.77673525174,14.7586255656549,1.53328811708952e-08
"365","pine",771.361039018276,18.3160525480496,1.51453568347274e-08
"366","pine",626.040905489545,10.5184773983735,7.75888129889234e-09
"367","pine",446.106117081857,18.2571200490561,1.0006039559228e-08
"368","pine",553.192247017289,17.1536519441773,3.64518446985033e-08
"369","pine",1167.56567815383,10.4039045001612,8.13001557613665e-09
"370","pine",912.893342755399,17.1286486743769,2.15452991244538e-08
"371","pine",469.553193312452,17.807449434264,1.49517486393483e-08
"372","pine",808.589925394748,12.3148215419185,3.39012830750963e-08
"373","pine",462.901845988697,15.4427631982535,2.86326185216013e-08
"374","pine",734.996413411457,12.1654893049506,3.19356429099967e-08
"375","pine",1155.25817077963,9.51920462867703,7.61194357042777e-09
"376","pine",1091.04596272566,9.0518541541716,1.21243056658834e-08
"377","pine",795.808392316591,18.5031646607899,1.09670918942869e-08
"378","pine",725.363792169743,13.2937656040177,3.90270249921709e-08
"379","pine",541.279808160295,13.9087600871529,4.18639528497103e-08
"380","pine",503.120459652053,17.826606572436,2.09354654469626e-08
"381","pine",1309.61959285868,15.8610529304259,5.31017247817657e-09
"382","pine",853.664081523633,10.8180290035221,2.64825175472504e-08
"383","pine",566.978441355036,13.1563931439906,3.53499450963596e-08
"384","pine",1051.78585475768,9.45998192041966,1.67976197289559e-08
"385","pine",777.525259405293,11.9857537146606,3.2364962059049e-08
"386","pine",1247.08788287559,11.0743808678675,6.19112761226093e-09
"387","pine",777.620747156967,18.0753103597534,1.75065420077859e-08
